datetime,S&P 500,Nasdaq,US 10Y,VIX,BTCUSD,DVOL
2024-07-29 19:30:00,5471.82,19144.9781,4.178,16.94,69266.64,55.47
2024-07-29 20:30:00,5457.74,19041.6598,4.174,16.9,68206.67,53.99
2024-07-29 21:30:00,5477.01,19153.5901,4.178,17.07,68078.3,52.88
2024-07-29 22:30:00,5470.63,19115.2502,4.176,16.45,66924.0,52.74
2024-07-29 23:30:00,5466.34,19072.883,4.178,16.39,67002.68,52.82
2024-07-30 00:30:00,5471.02,19092.0118,4.167,16.45,67411.99,52.8
2024-07-30 01:30:00,5463.55,19059.4867,4.172,16.29,67297.37,52.67
2024-07-30 19:30:00,5466.28,19024.771,4.174,16.35,66371.71,50.52
2024-07-30 20:30:00,5438.47,18884.0608,4.167,16.98,65777.1,50.37
2024-07-30 21:30:00,5424.28,18793.7788,4.163,17.58,66190.86,50.28
2024-07-30 22:30:00,5421.05,18764.3082,4.145,17.42,66154.64,50.28
2024-07-30 23:30:00,5435.62,18829.6166,4.139,17.55,65842.01,50.3
2024-07-31 00:30:00,5433.26,18791.3544,4.143,17.24,65790.93,50.24
2024-07-31 01:30:00,5436.45,18796.2733,4.143,17.31,65891.91,50.24
2024-07-31 19:30:00,5519.38,19289.4255,4.093,16.41,66488.99,49.67
2024-07-31 20:30:00,5528.27,19341.3218,4.103,16.27,66426.16,49.51
2024-07-31 21:30:00,5522.43,19303.5898,4.101,16.26,66361.61,49.57
2024-07-31 22:30:00,5520.71,19296.4398,4.112,16.24,66337.47,49.57
2024-07-31 23:30:00,5527.16,19329.3382,4.12,16.25,66659.16,49.45
2024-08-01 00:30:00,5513.56,19294.9151,4.083,16.01,66511.01,49.01
2024-08-01 01:30:00,5522.29,19362.428,4.045,16.14,65222.44,48.79
2024-08-01 19:30:00,5515.9,19313.0857,3.978,16.11,64729.13,47.83
2024-08-01 20:30:00,5477.54,19128.8878,4.001,17.03,63908.89,47.57
2024-08-01 21:30:00,5466.39,19018.7371,3.97,17.8,62863.31,47.88
2024-08-01 22:30:00,5439.18,18882.4641,3.986,18.14,62851.71,47.83
2024-08-01 23:30:00,5418.62,18784.036,3.982,19.06,63152.46,48.04
2024-08-02 00:30:00,5430.73,18840.3869,3.978,19.28,62872.74,47.87
2024-08-02 01:30:00,5446.69,18890.3861,3.986,18.55,63346.4,47.59
2024-08-02 19:30:00,5321.28,18368.2487,3.83,20.92,65185.1,47.94
2024-08-02 20:30:00,5310.28,18361.0385,3.819,27.53,63096.76,48.76
2024-08-02 21:30:00,5343.65,18470.5201,3.834,27.8,63356.47,49.39
2024-08-02 22:30:00,5321.62,18362.3794,3.822,25.3,63239.33,49.57
2024-08-02 23:30:00,5332.76,18427.5811,3.807,26.71,63024.82,49.09
2024-08-03 00:30:00,5338.54,18428.3578,3.794,25.96,62823.96,48.96
2024-08-03 01:30:00,5346.55,18440.845,3.794,24.48,62553.57,49.89
2024-08-05 19:30:00,5163.09,17753.0376,3.771,47.46,51977.65,66.51
2024-08-05 20:30:00,5212.73,17993.3037,3.792,42.49,54089.74,63.11
2024-08-05 21:30:00,5250.73,18166.819,3.83,34.16,54378.63,62.15
2024-08-05 22:30:00,5212.07,17982.2548,3.788,32.66,54087.97,61.34
2024-08-05 23:30:00,5205.26,17926.0049,3.794,32.95,54750.19,62.79
2024-08-06 00:30:00,5179.22,17865.4648,3.777,34.47,53121.66,63.65
2024-08-06 01:30:00,5186.34,17895.1551,3.786,37.61,53469.64,63.6
