datetime,S&P 500,Nasdaq,US 10Y,VIX,BTCUSD,DVOL
2023-06-08 19:00:00+00:00,4266.69,14358.6804,,,,
2023-06-08 19:30:00+00:00,4276.15,14394.8628,,,,
2023-06-08 20:00:00+00:00,4281.99,14436.3461,,,,
2023-06-08 20:30:00+00:00,4284.9,14470.4296,,,,
2023-06-08 21:00:00+00:00,4282.86,14477.2934,,,,
2023-06-08 21:30:00+00:00,4293.22,14502.5156,,,,
2023-06-08 22:00:00+00:00,4288.72,14463.8597,,,,
2023-06-08 22:30:00+00:00,4286.25,14443.5448,,,,
2023-06-08 23:00:00+00:00,4283.99,14426.5865,,,,
2023-06-08 23:30:00+00:00,4288.94,14448.8812,,,,
2023-06-09 00:00:00+00:00,4291.82,14464.4157,,,,
2023-06-09 00:30:00+00:00,4292.19,14470.5701,,,,
2023-06-09 01:00:00+00:00,4294.16,14483.4395,,,,
2023-06-09 01:30:00+00:00,4293.92,14484.5434,,,,
2023-06-09 19:00:00+00:00,4311.99,14639.5413,,,,
2023-06-09 19:30:00+00:00,4320.62,14656.3657,,,,
2023-06-09 20:00:00+00:00,4313.82,14579.0644,,,,
2023-06-09 20:30:00+00:00,4301.19,14540.8792,,,,
2023-06-09 21:00:00+00:00,4297.18,14521.4133,,,,
2023-06-09 21:30:00+00:00,4295.21,14507.8076,,,,
2023-06-09 22:00:00+00:00,4300.72,14540.7074,,,,
2023-06-09 22:30:00+00:00,4303.95,14569.456,,,,
2023-06-09 23:00:00+00:00,4307.98,14593.497,,,,
2023-06-09 23:30:00+00:00,4306.41,14580.4017,,,,
2023-06-10 00:00:00+00:00,4304.97,14569.0102,,,,
2023-06-10 00:30:00+00:00,4303.5,14550.588,,,,
2023-06-10 01:00:00+00:00,4299.07,14530.3731,,,,
2023-06-10 01:30:00+00:00,4298.87,14528.3605,,,,
2023-06-12 19:00:00+00:00,4311.59,14600.0144,,,,
2023-06-12 19:30:00+00:00,4309.45,14612.0311,,,,
2023-06-12 20:00:00+00:00,4307.35,14604.5065,,,,
2023-06-12 20:30:00+00:00,4308.99,14621.057,,,,
2023-06-12 21:00:00+00:00,4313.78,14655.6405,,,,
2023-06-12 21:30:00+00:00,4314.24,14650.0145,,,,
2023-06-12 22:00:00+00:00,4317.45,14659.4363,,,,
2023-06-12 22:30:00+00:00,4315.72,14660.2605,,,,
2023-06-12 23:00:00+00:00,4320.63,14697.5163,,,,
2023-06-12 23:30:00+00:00,4319.22,14692.9588,,,,
2023-06-13 00:00:00+00:00,4327.55,14734.486,,,,
2023-06-13 00:30:00+00:00,4335.02,14757.1813,,,,
2023-06-13 01:00:00+00:00,4339.58,14787.3397,,,,
2023-06-13 01:30:00+00:00,4338.92,14784.3008,,,,
2023-06-13 19:00:00+00:00,4358.8,14827.21,,,,
2023-06-13 19:30:00+00:00,4359.01,14799.5159,,,,
2023-06-13 20:00:00+00:00,4362.61,14853.2486,,,,
2023-06-13 20:30:00+00:00,4369.35,14895.2951,,,,
2023-06-13 21:00:00+00:00,4362.85,14861.0799,,,,
2023-06-13 21:30:00+00:00,4368.59,14873.8382,,,,
2023-06-13 22:00:00+00:00,4372.24,14904.5157,,,,
2023-06-13 22:30:00+00:00,4372.49,14893.3478,,,,
2023-06-13 23:00:00+00:00,4370.65,14893.4663,,,,
2023-06-13 23:30:00+00:00,4361.06,14832.983,,,,
2023-06-14 00:00:00+00:00,4363.06,14871.5247,,,,
2023-06-14 00:30:00+00:00,4365.75,14875.6544,,,,
2023-06-14 01:00:00+00:00,4369.77,14901.9114,,,,
2023-06-14 01:30:00+00:00,4369.02,14900.8526,,,,
2023-06-14 19:00:00+00:00,4376.3,14923.9773,,,,
2023-06-14 19:30:00+00:00,4378.24,14951.3344,,,,
2023-06-14 20:00:00+00:00,4380.31,14955.5629,,,,
2023-06-14 20:30:00+00:00,4387.95,15001.0985,,,,
2023-06-14 21:00:00+00:00,4383.75,14976.4864,,,,
2023-06-14 21:30:00+00:00,4383.24,14982.5729,,,,
2023-06-14 22:00:00+00:00,4382.3,14982.0599,,,,
2023-06-14 22:30:00+00:00,4374.37,14941.7668,,,,
2023-06-14 23:00:00+00:00,4373.92,14940.7313,,,,
2023-06-14 23:30:00+00:00,4346.25,14846.5334,,,,
2023-06-15 00:00:00+00:00,4364.57,14937.6235,,,,
2023-06-15 00:30:00+00:00,4367.91,14950.9733,,,,
2023-06-15 01:00:00+00:00,4372.49,15006.0832,,,,
2023-06-15 01:30:00+00:00,4372.58,15005.6924,,,,
2023-06-15 19:00:00+00:00,4388.09,15015.299,,,,
2023-06-15 19:30:00+00:00,4395.11,15076.6603,,,,
2023-06-15 20:00:00+00:00,4394.69,15067.9359,,,,
2023-06-15 20:30:00+00:00,4407.97,15105.6231,,,,
2023-06-15 21:00:00+00:00,4408.27,15118.4976,,,,
2023-06-15 21:30:00+00:00,4409.61,15111.9045,,,,
2023-06-15 22:00:00+00:00,4409.23,15108.9019,,,,
2023-06-15 22:30:00+00:00,4409.34,15115.0816,,,,
2023-06-15 23:00:00+00:00,4418.1,15160.9747,,,,
